epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1
1,0.6902394597950019,0.6906576863340529,0.14055448098001289,0.13539651837524178,0.1295999494805974,0.1235925654843395
2,0.681799550889616,0.6828212317230623,0.8720180528691167,0.8520309477756286,0.7913204119116211,0.7642277513245255
3,0.658023161245576,0.661119451721125,0.9629271437782077,0.9477756286266924,0.9240748477740393,0.8953072382680957
4,0.6094920165611036,0.6166144082578515,0.966795615731786,0.9497098646034816,0.9312157067221982,0.8980624123156258
5,0.5411974224330993,0.5538547524977007,0.9706640876853643,0.9574468085106383,0.9386386564595572,0.9112515605493133
6,0.4495411088472793,0.4698629434611396,0.975177304964539,0.9622823984526112,0.9472536936702179,0.9201710366125249
7,0.34729193317206114,0.3767373518049141,0.9813023855577047,0.9661508704061895,0.9594987020026888,0.9270520270828673
8,0.258624422423383,0.29627088164798987,0.9845261121856866,0.9700193423597679,0.9659923111780269,0.9341789411216316
9,0.19439747015904182,0.23858035535946115,0.986782720825274,0.9738878143133463,0.9707371620463416,0.9419423666003282
10,0.14918495427401585,0.1988882179042357,0.9880722114764668,0.9748549323017408,0.9734798464717549,0.9439136131115803
11,0.11797339172324083,0.17376450472286176,0.9887169568020632,0.9748549323017408,0.9749133682840925,0.9439136131115803
12,0.09781796709039302,0.15688195310143946,0.9903288201160542,0.9748549323017408,0.9785200087526463,0.9439136131115803
13,0.08240365738506704,0.14554559128139188,0.9906511927788524,0.9748549323017408,0.9792139337211052,0.9439136131115803
14,0.07077962695245663,0.13911944598579198,0.9922630560928434,0.9758220502901354,0.9827056882043352,0.9455462751335011
15,0.06228833395788395,0.13363134804068266,0.9929078014184397,0.9758220502901354,0.9841128239988453,0.9455462751335011
16,0.057253011805560805,0.12998122183652866,0.9932301740812379,0.9758220502901354,0.9848512437342375,0.9455462751335011
17,0.05117587674094507,0.12713203669257275,0.9935525467440361,0.97678916827853,0.985557112726223,0.9475539550100175
18,0.045998557328428474,0.12493859560407222,0.9938749194068343,0.97678916827853,0.9862939824262149,0.9475539550100175
19,0.041549357995727156,0.12376823241334242,0.9941972920696325,0.9777562862669246,0.9870014014536007,0.9495745578603431
20,0.03757745638816377,0.12344740068529168,0.9945196647324307,0.9787234042553191,0.9877367211181922,0.9516082368958475
21,0.03621179848995845,0.12315331149226634,0.9945196647324307,0.9796905222437138,0.9877367211181922,0.9536551476849985
22,0.03438968727813084,0.12149574728844763,0.9945196647324307,0.9806576402321083,0.9877367211181922,0.9557154481990664
23,0.031195958450599918,0.1221585128423929,0.9945196647324307,0.9806576402321083,0.9877367211181922,0.9557154481990664
24,0.030559701512391763,0.12216804534326554,0.9945196647324307,0.9806576402321083,0.9877367211181922,0.9557154481990664
25,0.028685634140931622,0.12061157768927298,0.9945196647324307,0.9806576402321083,0.9877367211181922,0.9557154481990664
26,0.026160899532909627,0.12129960037458047,0.9948420373952289,0.9806576402321083,0.9884704588028902,0.9557154481990664
27,0.026869763181257215,0.12122601621227638,0.995164410058027,0.9806576402321083,0.9891794598101696,0.9557154481990664
28,0.024450653501042315,0.12210803861843289,0.995164410058027,0.9806576402321083,0.9891794598101696,0.9557154481990664
29,0.024315939793155453,0.12330755791527793,0.9954867827208252,0.9806576402321083,0.9898899789083562,0.9557154481990664
30,0.02362032978045487,0.12314627319664426,0.9954867827208252,0.9806576402321083,0.9898899789083562,0.9557154481990664
